104	50	106	209	66	10	207	32	23	158	223	635	220	73	14	9	188	196
93	44	98	197	62	11	183	36	22	146	202	505	152	64	4	14	195	204
90	34	66	136	55	6	123	54	17	118	148	224	118	65	5	26	196	202
96	55	103	201	65	9	204	32	23	166	227	624	246	74	6	2	186	194
104	54	100	186	61	10	216	31	24	173	225	686	220	74	5	11	185	195
101	56	100	215	69	10	208	32	24	169	227	651	223	74	6	5	186	193
99	53	105	219	66	11	204	32	23	165	221	623	224	68	0	6	191	201
83	36	54	119	57	6	128	53	18	125	143	238	139	82	6	3	179	183
107	54	98	203	65	11	218	31	25	167	229	696	216	72	1	28	187	199
80	38	63	129	55	7	146	46	19	130	168	314	158	83	9	20	180	185
88	42	77	151	58	8	140	47	18	142	165	293	158	64	10	11	198	205
93	35	66	154	59	6	142	46	18	128	162	304	120	64	5	13	197	202
101	48	107	222	68	10	208	32	24	154	232	641	204	70	5	38	190	202
87	38	85	177	61	8	164	40	20	129	186	402	130	63	1	25	198	205
106	53	98	176	54	10	216	31	24	171	235	691	218	74	1	9	187	197
95	48	104	214	67	9	205	32	23	151	227	628	202	74	5	9	186	193
93	37	76	183	63	8	164	40	20	134	191	405	139	67	4	7	192	197
119	54	106	220	65	12	213	31	24	167	223	675	232	66	20	1	192	202
91	45	79	176	59	9	163	40	20	148	184	404	179	62	0	10	199	208
78	38	63	115	51	6	142	47	19	130	162	299	146	77	2	4	181	185
92	38	71	174	66	7	154	43	19	133	181	355	130	70	4	24	189	195
98	55	101	228	70	9	210	31	24	168	236	661	245	72	1	6	188	197
97	44	96	195	63	9	185	36	22	144	202	512	165	66	4	8	191	199
107	53	103	221	66	11	209	32	24	163	222	653	212	66	0	1	191	201
103	50	98	212	63	9	193	34	22	161	214	567	185	64	5	5	198	204
77	38	63	135	59	5	130	52	18	130	145	247	139	79	13	21	183	187
89	41	75	143	56	7	146	46	19	137	170	317	156	76	18	5	184	188
98	55	101	219	69	11	225	30	25	178	231	748	216	74	6	14	187	195
96	55	98	161	54	10	215	31	24	175	226	683	221	76	3	6	185	193
97	59	108	227	70	11	224	30	25	186	225	732	218	70	10	25	186	198
